"","analysis_score","analysis_text"
"1",1,"Good evening all ‚ô•‚ô• #PawanKalyan &amp; @kriti_official Ì†ΩÌ∏ä http://t.co/ctCc9ZLWV3"
"2",0,"#PawanKalyan On #JaNaSeNa Party Meeting.
#Devudu Lanti Annayaki Yedhurelthana..
#Chiru On #Gav Audio Function.#Thammudiney Marichina #Chiru"
"3",0,"RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan"
"4",0,"I posted a new photo to Facebook http://t.co/C6ysqVsI9X"
"5",0,"I posted a new photo to Facebook http://t.co/Vg0nhFBfSD"
"6",-1,"RT @VyasKalyan: Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph"
"7",0,"RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan"
"8",0,"Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - ‡∞™‡∞µ‡∞®‡±ç ‡∞®‡±Å ‡∞ï‡∞≤‡∞ø‡∞∏‡±á http://t.co/rrUMZRdBSF"
"9",0,"Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - ‡∞™‡∞µ‡∞®‡±ç ‡∞®‡±Å ‡∞ï‡∞≤‡∞ø‡∞∏‡±á
http://t.co/q8T0fxk6c9"
"10",-1,"Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph"
"11",0,"RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan"
"12",0,"RT @nishchitha1: #PawanKalyan‚ô• simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q"
"13",0,"RT @nishchitha1: #PawanKalyan‚ô• simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q"
"14",1,"RT @nishchitha1: Good Afternoon #PawanKalyan‚ô• http://t.co/AG5s9FlKls"
"15",0,"#PawanKalyan‚ô• simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q"
"16",1,"Good Afternoon #PawanKalyan‚ô• http://t.co/AG5s9FlKls"
"17",-1,"Actor Kamal Haasan hospitalised at Chennai Apollo following symptoms of food poisoning. Likely to be discharged today or tomorrow."
"18",0,"Pawankalyan can come for GAV
150days function :
Chiranjeevi"
"19",1,"@meevaasu hmm..cheyali kada..Am fan of both
#PawanKalyan vi n #RamCharan vi chesta
nakeppudu double responsibilty ey
I enjoy sharing both :D"
"20",0,"Why Pawan Skipped Govindudu Andarivadele Audio Launch? http://t.co/1GRAiZl1XW #pawankalyan #GovinduduAndarivadele #Chiranjeevi #RamCharan"
"21",1,"@deep_sivam Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"22",1,"@PradeepZoya13 @GiriC8 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"23",1,"@bhanumahesh10 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"24",1,"@haribabukunapa2 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"25",0,"#PawanKalyan fans irritated #Chiranjeevi

Read Complete Article @ http://t.co/ieEAEqLKyw"
